 0.000000+0 3.968219+0          0          2          0          0 228 4  2    2
 0.000000+0 0.000000+0          0          0          1         46 228 4  2    3
         46          2                                             228 4  2    4
 0.000000+0 1.000000-5          0          0          2          0 228 4  2    5
 0.000000+0 0.000000+0                                             228 4  2    6
 0.000000+0 1.000000+0          0          0          2          0 228 4  2    7
 0.000000+0 0.000000+0                                             228 4  2    8
 0.000000+0 6.000000+4          0          0          6          0 228 4  2    9
-7.573000-2 1.531600-3-3.356700-8 6.31490-11 4.93690-12-3.18450-12 228 4  2   10
 0.000000+0 1.000000+5          0          0          6          0 228 4  2   11
-1.286300-1 4.494600-3-1.580700-7 5.36690-10 9.00010-12-5.80170-12 228 4  2   12
 0.000000+0 1.500000+5          0          0          6          0 228 4  2   13
-1.957100-1 1.075500-2-5.400900-7 2.812400-9 1.49430-11-9.62900-12 228 4  2   14
 0.000000+0 2.000000+5          0          0          6          0 228 4  2   15
-2.612700-1 2.013300-2-1.280700-6 8.994800-9 2.16810-11-1.40450-11 228 4  2   16
 0.000000+0 2.500000+5          0          0          6          0 228 4  2   17
-3.219200-1 3.272000-2-2.466700-6 2.185600-8 2.89110-11-1.89290-11 228 4  2   18
 0.000000+0 3.000000+5          0          0          6          0 228 4  2   19
-3.739000-1 4.830800-2-4.133700-6 4.432900-8 3.61390-11-2.41000-11 228 4  2   20
 0.000000+0 3.500000+5          0          0          6          0 228 4  2   21
-4.136700-1 6.634000-2-6.248500-6 7.882600-8 4.27970-11-2.93020-11 228 4  2   22
 0.000000+0 4.000000+5          0          0          6          0 228 4  2   23
-4.384800-1 8.593700-2-8.703400-6 1.265100-7 4.82860-11-3.42510-11 228 4  2   24
 0.000000+0 4.500000+5          0          0          6          0 228 4  2   25
-4.470100-1 1.060200-1-1.132900-5 1.867800-7 5.21520-11-3.86660-11 228 4  2   26
 0.000000+0 5.000000+5          0          0          6          0 228 4  2   27
-4.395400-1 1.254700-1-1.392300-5 2.571500-7 5.41240-11-4.23310-11 228 4  2   28
 0.000000+0 5.500000+5          0          0          6          0 228 4  2   29
-4.178700-1 1.433400-1-1.628600-5 3.336100-7 5.41840-11-4.51140-11 228 4  2   30
 0.000000+0 6.000000+5          0          0          6          0 228 4  2   31
-3.848100-1 1.589100-1-1.825300-5 4.112700-7 5.24920-11-4.69790-11 228 4  2   32
 0.000000+0 6.500000+5          0          0          6          0 228 4  2   33
